time,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10
390.6000000000015,3.7737,4.825,3.6765,5.7843,4.0571,4.8712,3.0471,5.4139,4.6069,2.3279
392.4000000000015,4.0629,2.5635,3.9433,6.199,4.3361,5.223,3.2887,5.8042,4.8943,2.5321
394.2000000000015,4.3742,2.7236,4.2296,6.6435,4.6343,5.6003,3.5494,6.2225,5.1997,2.7542
396.00000000000153,4.7095,2.8937,4.5366,7.1198,4.953,6.0048,3.8308,6.671,2.7891,2.9958
397.80000000000155,5.0704,3.0744,4.8658,3.9924,5.2937,6.4385,4.1346,7.1518,2.9706,3.2586
399.60000000000156,5.459,3.2664,5.219,4.2417,5.6577,6.9035,2.1407,7.6673,3.1639,3.5444
401.40000000000157,5.8773,3.4704,5.5979,4.5065,6.0469,7.4022,2.3014,4.1901,3.3698,3.8554
403.2000000000016,3.0666,3.6872,6.0042,4.7879,3.2105,3.8086,2.4741,4.4266,3.589,4.1935
405.0000000000016,3.3019,3.9175,3.1633,5.0868,3.4046,4.1155,2.6597,4.6764,3.8226,2.3097
406.8000000000016,3.5553,4.1621,3.4258,5.4045,3.6104,4.4471,2.8593,4.9403,4.0713,2.4539
408.6000000000016,3.8281,4.4221,3.71,5.7419,3.8286,4.8055,3.0739,5.2192,4.3363,2.607
410.4000000000016,4.1218,4.6983,4.0178,6.1004,4.06,2.6525,3.3045,5.5137,4.6185,2.7696
412.20000000000164,4.4381,4.9917,4.3511,6.4813,4.3054,2.859,3.5525,5.8249,4.919,2.9424
414.00000000000165,2.317,5.3035,4.7121,6.886,4.5657,3.0816,3.819,6.1537,5.2391,3.126
415.80000000000166,2.4922,5.6347,5.1031,7.316,4.8417,3.3215,4.1056,6.501,5.58,3.3211
417.60000000000167,2.6808,5.9866,5.5265,7.7728,5.1343,3.58,4.4137,6.8679,5.9431,3.5283
419.4000000000017,2.8836,3.0443,2.82,8.2581,5.4447,3.8587,2.3479,3.8731,6.3298,3.7484
421.2000000000017,3.1017,3.2451,3.0499,4.2834,5.7738,4.1591,2.5097,4.188,6.7417,3.9823
423.0000000000017,3.3363,3.4592,3.2984,4.6103,6.1228,4.4829,2.6826,4.5284,7.1805,4.2308
424.8000000000017,3.5887,3.6874,3.5672,4.9622,6.4929,4.8318,2.8673,4.8965,7.6477,4.4948
426.6000000000017,3.8602,3.9306,3.8579,5.341,6.8854,5.208,3.0648,5.2946,8.1454,4.7752
428.40000000000174,4.1522,4.1899,4.1723,5.7487,3.7461,2.8336,3.276,5.725,4.3147,5.0731
430.20000000000175,4.4663,4.4663,4.5123,6.1875,4.0198,3.0257,3.5016,6.1903,4.5724,5.3897
432.00000000000176,4.8041,4.7609,4.88,6.6598,4.3136,3.2308,3.7428,6.6936,4.8455,5.726
433.8000000000018,5.1676,5.0749,2.5956,7.1681,4.6288,3.4498,4.0006,3.6779,5.135,3.1936
435.6000000000018,5.5585,2.6804,2.7551,7.7153,4.967,3.6837,4.2762,3.9343,5.4417,3.4645
437.4000000000018,5.979,2.8779,2.9244,8.3042,2.8274,3.9334,4.5707,4.2086,5.7667,3.7584
439.2000000000018,6.4312,3.09,3.1041,4.4635,3.0135,4.2,4.8856,4.5019,6.1112,4.0773
441.0000000000018,6.9177,3.3177,3.2948,4.8379,3.2118,4.4847,5.2221,4.8158,3.397,2.1912
442.80000000000183,7.441,3.5623,3.4972,5.2438,3.4232,4.7887,2.9413,5.1515,3.6587,2.3643
